,File_Name,label_name,actual,predicted,Accuracy,Match/No_Match,bbox,bbox_ground_truth
20,Trade Finance_20210824112119_1.00_page_15.png,country_of_origin_of_goods,UAE.,UAE.,100,1,"[581, 1058, 638, 1079]","[576, 1058, 644, 1082]"
21,Trade Finance_20210824112119_1.00_page_15.png,incoterm,DDP,DDP,100,1,"[363, 1093, 1450, 1121]","[359, 1095, 1461, 1124]"
22,Trade Finance_20210824112119_1.00_page_15.png,invoice_amount_in_words,One Hundred Fifteen Thousand Five Hundred Ten & Fils 50100,ONE HUNDRED FIFTEEN THOUSAND FIVE HUNDRED TEN & FILS 50100,100,1,"[799, 1888, 1619, 1912]","[798, 1889, 1628, 1920]"
23,Trade Finance_20210824112119_1.00_page_15.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[824, 2144, 1010, 2165]","[824, 2143, 1016, 2171]"
24,Trade Finance_20210824112119_1.00_page_22.png,invoice_no,NOSZO11,NOSZO11,100,1,"[1839, 682, 2003, 706]","[1896, 681, 2009, 711]"
25,Trade Finance_20210824112119_1.00_page_22.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf ISLAMIC ,AL MASRAF - ISLAMIC,92,1,"[361, 682, 643, 706]","[363, 676, 643, 709]"
26,Trade Finance_20210824112119_1.00_page_22.png,remitter_address,JUMEIRAFIRSTMAINROADSUQEIMUMMDUBAI,JUMEIRAFIRSTMAINROADSUQEIMUMMDUBAI,100,1,"[361, 741, 730, 826]","[358, 755, 734, 819]"
27,Trade Finance_20210824112119_1.00_page_22.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[361, 952, 661, 980]","[359, 952, 661, 981]"
28,Trade Finance_20210824112119_1.00_page_22.png,country_of_origin_of_goods,UAE.,UAE.,100,1,"[581, 1061, 641, 1082]","[581, 1061, 643, 1087]"
29,Trade Finance_20210824112119_1.00_page_22.png,incoterm,DDP,DDP,100,1,"[361, 1096, 1455, 1121]","[359, 1095, 1461, 1124]"
30,Trade Finance_20210824112119_1.00_page_22.png,invoice_amount_in_words,One Hundred Fifteen Thousand Five Hundred Ten & Fils 50100,ONE HUNDRED FIFTEEN THOUSAND FIVE HUNDRED TEN & FILS 50100,100,1,"[802, 1884, 1626, 1912]","[800, 1888, 1630, 1918]"
31,Trade Finance_20210824112119_1.00_page_22.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[829, 2141, 1015, 2165]","[829, 2136, 1025, 2174]"
